location,continent,date,population,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated
Tonga,Oceania,2021-06-21,105697.0,0.0,0.0,22363.0,1349.0
Trinidad and Tobago,North America,2021-06-28,1399491.0,32343.0,822.0,211363.0,72653.0
Tunisia,Africa,2021-06-28,11818618.0,408931.0,14737.0,1251903.0,513328.0
Turkey,Asia,2021-06-28,84339067.0,5414310.0,49634.0,33934402.0,15004315.0
Turkmenistan,Asia,2021-04-04,6031187.0,0.0,0.0,32240.0,9753.0
Turks and Caicos Islands,North America,2021-06-18,38718.0,0.0,0.0,22700.0,15410.0
Tuvalu,Oceania,2021-06-15,11792.0,0.0,0.0,4772.0,0.0
Uganda,Africa,2021-06-28,45741000.0,79089.0,956.0,854232.0,4129.0
Ukraine,Europe,2021-06-28,43733759.0,2298478.0,54517.0,1912469.0,589362.0
United Arab Emirates,Asia,2021-06-28,9890400.0,628976.0,1802.0,5081853.0,3836521.0
United Kingdom,Europe,2021-06-28,67886004.0,4771367.0,128367.0,44454511.0,32583746.0
United States,North America,2021-06-28,331002647.0,33640502.0,604115.0,179615165.0,153776118.0
Uruguay,South America,2021-06-28,3473727.0,366915.0,5524.0,2210426.0,1564844.0
Uzbekistan,Asia,2021-06-28,33469199.0,109692.0,731.0,1623764.0,1002919.0
Vanuatu,Oceania,2021-06-28,307150.0,4.0,1.0,7462.0,0.0
Vatican,Europe,2021-06-28,809.0,27.0,0.0,0.0,0.0
Venezuela,South America,2021-06-28,28435943.0,269635.0,3068.0,1223130.0,223858.0
Vietnam,Asia,2021-06-28,97338583.0,16136.0,78.0,3324110.0,172994.0
Wallis and Futuna,Oceania,2021-06-21,11246.0,0.0,0.0,4532.0,4302.0
Yemen,Asia,2021-06-28,29825968.0,6909.0,1361.0,268753.0,0.0
Zambia,Africa,2021-06-28,18383956.0,149661.0,2091.0,142125.0,9080.0
Zimbabwe,Africa,2021-06-28,14862927.0,47284.0,1749.0,756291.0,518968.0
